site,site_sec,latitude,longitude
"Erie, Pa. (Hammermill Center)","Erie, Pa",42.1283957,-80.0861959
"Somers, WI (DeSimone Gymnasium)","Somers, WI",42.6476245,-87.8549878
"Indianapolis, IN (Nicoson Hall)","Indianapolis, IN",39.7088663,-86.1319113
"Big Rapids, Mich.","Big Rapids, Mich",43.6980782,-85.4836557
"Bridgeport,",,41.1865478,-73.1951767
"West Palm Beach,",,26.7153424,-80.0533746
"West Palm Beach, FL","West Palm Beach, FL",26.7153424,-80.0533746
"Pleasantville, NY","Pleasantville, NY",41.1333371,-73.7924152
"Orangeburg, NY","Orangeburg, NY",41.0464858,-73.9495818
"Easton, MA","Easton, MA",42.0245442,-71.1286594
"Manchester, NH","Manchester, NH",42.9956397,-71.4547891
"Philadelphia, Pa. (Gallagher Center)","Philadelphia, Pa",40.023379,-75.1937303
"Easton, Mass. - Paula Sullivan Court","Easton, Mass",42.0590153,-71.0806276
"Daniel P. Nolan Gymnasium | Albany, N.Y.","Albany, N",42.6640994,-73.7856653
"Las Vegas, Nev. (MGM Grand Garden Arena)","Las Vegas, Nev",36.104313,-115.1685048
"Nashville, Tenn. (Bridgestone Arena)","Nashville, Tenn",36.1591736,-86.7784959
"Stan Sheriff Center (Honolulu, O'ahu)","Honolulu, O",21.2942882,-157.8189039
"Hard Rock Hotel, Riviera Maya, Mexico","Hard Rock Hotel, Riviera Maya, Mexico",20.506925,-87.21539
"Riviera Maya, Mexico / Hard Rock Hotel","Riviera Maya, Mexico",20.506925,-87.21539
"Uncasville, Conn. (Mohegan Sun Arena)","Uncasville, Conn",41.4911501,-72.0897019
"St. Bonifacius, MN","Bonifacius, MN",44.9055181,-93.7474636
"Lincoln, NE","Lincoln, NE",40.8257625,-96.6851982
"Colorado Springs, CO","Colorado Springs, CO",38.8338816,-104.8213634
"Scott Gym, Dickinson, N.D.","Scott Gym, Dickinson, N",46.8823226,-102.7995721
"Coliseo Ruben Rodriguez, Bayamon, P.R.","Coliseo Ruben Rodriguez, Bayamon, P",18.3947963,-66.150924
COLISEO RUBEN RODRIGUEZ,,18.3947963,-66.150924
"Aiken, SC","Aiken, SC",33.5604168,-81.7195533
"Greeneville, TN","Greeneville, TN",36.1631574,-82.8309861
"Harrogate, TN","Harrogate, TN",36.5823046,-83.6568579
"Columbus, Ga...Lumpkin Center","Columbus, Ga",32.5044661,-84.9402125
"Wilson, N.C. (Wilson Gymnasium)","Wilson, N",35.7368003,-77.9117497
Levine Center- Curry Arena,,35.1885164,-80.83279
"Naperville, IL","Naperville, IL",41.7508391,-88.1535352
"Bloomington, IL","Bloomington, IL",40.4842027,-88.9936873
"Platteville, WI","Platteville, WI",42.73416,-90.4784621
"Wisconsin Dells, WI","Wisconsin Dells, WI",43.6274794,-89.7709579
"Whitewater, WI","Whitewater, WI",42.8336205,-88.7323272
"Crestview Hills, Ky. - Connor Center","Crestview Hills, Ky",39.0210499,-84.5687111
"Salem Civic Center - Salem, Va.","Salem, Va",37.2854268,-80.0392938
JustAGame Fieldhouse,,43.6256886,-89.7762441
"Wisconsin Dells, Wis.","Wisconsin Dells, Wis",43.6274794,-89.7709579
"Whitewater, Wis. (Kachel Gymnasium)","Whitewater, Wis",42.8430878,-88.7462426
"DeVos Fieldhouse, Holland, MI","DeVos Fieldhouse, Holland, MI",42.7887273,-86.0954824
"Hope College, DeVos Fieldhouse","Hope College, DeVos Fieldhouse",42.7887273,-86.0954824
"Sioux Falls, SD","Sioux Falls, SD",43.5445959,-96.7311034
"Mankato, MN","Mankato, MN",44.1635775,-93.9993996
"Monmouth, OR","Monmouth, OR",44.8484524,-123.2339888
"Rochester, MN","Rochester, MN",44.0121221,-92.4801989
"Sioux Falls, SD (Sanford Pentagon)","Sioux Falls, SD",43.5916282,-96.7548082
Sanford Pentagon,,43.5916282,-96.7548082
"Sioux Falls, SD (Sanford Pentgaon)","Sioux Falls, SD",43.5916282,-96.7548082
"Las Vegas, Nev.","Las Vegas, Nev",36.1699412,-115.1398296
"Bayamon, PR (University of PR-Bayamon)","Bayamon, PR",18.3705811,-66.1437571
"Frisco, Texas -- Dr Pepper Center","Frisco, Texas",33.1004791,-96.819173
"Frisco, Texas (Dr. Pepper Arena)","Frisco, Texas",33.1004791,-96.819173
"Frisco, Texas -- Dr Pepper Arena","Frisco, Texas",33.1004791,-96.819173
"Weatherford, OK (Pioneer Cellular EC)","Weatherford, OK",35.5258757,-98.706553
"Maryville, Mo. (Bearcat Arena)","Maryville, Mo",40.3506406,-94.8858476
"Ottawa, KS","Ottawa, KS",38.615768,-95.2686366
"Cedar Rapids, IA","Cedar Rapids, IA",41.9778795,-91.6656232
"Mount Vernon, IA","Mount Vernon, IA",41.9219522,-91.4168371
"Kenosha, Wis. (Tarble Arena)","Kenosha, Wis",42.6213907,-87.8223193
"Dennie Bridges Court, IWU Shirk Center","Dennie Bridges Court, IWU Shirk Center",40.4908892,-88.9906541
"Hoffman Estates, IL","Hoffman Estates, IL",42.0629915,-88.1227199
"Bowling Green, OH","Bowling Green, OH",41.3747744,-83.6513229
"Mount Pleasant, MI","Mount Pleasant, MI",43.5978075,-84.7675139
"Greeley, Colo. (Bank of Colorado Arena)","Greeley, Colo",40.4022171,-104.7030436
"Nashville, Tenn. (Municipal Auditorium)","Nashville, Tenn",36.1674077,-86.7817328
"Wells Fargo Arena - Des Moines, Iowa","Des Moines, Iowa",41.5926623,-93.6210651
"Millett Hall, Oxford, Ohio","Millett Hall, Oxford, Ohio",39.5167527,-84.7345863
"Oxford, Ohio","Oxford, Ohio",39.5069974,-84.745231
"Bridgewater, VA","Bridgewater, VA",38.3820706,-78.976696
"Hampden-Sydney, VA","Hampden-Sydney, VA",37.2423746,-78.4597173
"Newport News, VA","Newport News, VA",37.0870821,-76.4730122
"Fayetteville, NC","Fayetteville, NC",35.0526641,-78.8783585
"Maryville, TN","Maryville, TN",35.7564719,-83.9704593
"Batten Center/Virginia Beach, Va.","Virginia Beach, Va",36.8684184,-76.1859527
"Bridgewater, Va. Nininger Hall","Bridgewater, Va",38.378879,-78.969386
"Winchester, Va. (Shingleton Gymnasium)","Winchester, Va",39.1660159,-78.1583388
"Swarthmore, Pa. (Tarble Pavilion)","Swarthmore, Pa",39.900997,-75.3535776
"Hoboken, NJ","Hoboken, NJ",40.7439905,-74.0323626
"Medford, MA","Medford, MA",42.4184296,-71.1061639
"Salem, MA","Salem, MA",42.51954,-70.8967155
"Bristol, RI","Bristol, RI",41.6771101,-71.2662025
"Northfield, VT","Northfield, VT",44.1511723,-72.6564986
"Salem, Mass.","Salem, Mass",42.51954,-70.8967155
"Waltham, Mass. (Red Auerbach Arena)","Waltham, Mass",42.364989,-71.258663
"Waltham, MA (Red Auerbach Arena)","Waltham, MA",42.364989,-71.258663
"Salem Civic Center: Salem, Va.","Salem, Va",37.2854268,-80.0392938
"Crestveiw Hills, KY","Crestveiw Hills, KY",39.0272829,-84.5849438
"Kissimmee, FL","Kissimmee, FL",28.2919557,-81.407571
"Buffalo, N.Y.","Buffalo, N",42.8864468,-78.8783689
"Defiance, Ohio -- Karl H. Weaner Center","Defiance, Ohio",41.2966243,-84.3583836
"Richmond, Ky. (McBrayer Arena)","Richmond, Ky",37.7373512,-84.3012724
"Conway, SC","Conway, SC",33.8360034,-79.0478143
"The HTC Center - Conway, S.C.","Conway, S",33.7980888,-79.0155722
"Buies Creek, NC (Pope Center/Gore Arena)","Buies Creek, NC",35.4078504,-78.7367719
"Ft. Lauderdale, FL","Lauderdale, FL",26.1224386,-80.1373174
"Boca Raton, FL","Boca Raton, FL",26.3683064,-80.1289321
"Miami, FL","Miami, FL",25.7616798,-80.1917902
"Livingston, AL","Livingston, AL",32.5843025,-88.1872475
"Boca Raton, Fla.","Boca Raton, Fla",26.3683064,-80.1289321
"Kissimmee, Fla.","Kissimmee, Fla",28.2919557,-81.407571
"Silver Spurs Arena - Kissimmee, Fla.","Kissimmee, Fla",28.2989399,-81.3689867
"Silver Spurs Arena, Kissimmee, Fla.","Silver Spurs Arena, Kissimmee, Fla",28.2989399,-81.3689867
"Frisco, TX -- Dr. Pepper Center","Frisco, TX",33.1004791,-96.819173
"Keene, NH","Keene, NH",42.933692,-72.2781409
"Bangor, ME","Bangor, ME",44.8011821,-68.7778138
"Irvine, CA","Irvine, CA",33.6845673,-117.8265049
"Atlanta, GA - Woodruff PE Ctr.","Atlanta, GA",33.7933119,-84.3258545
"Sports Center: Galloway, NJ","Galloway, NJ",39.4902894,-74.5314967
"Waterville, ME","Waterville, ME",44.5520105,-69.6317121
"Waterville, Maine","Waterville, Maine",44.5520105,-69.6317121
"Springfield, Mass.","Springfield, Mass",42.1014831,-72.589811
"Worcester, MA --- Harrington Auditorium","Worcester, MA",42.2744595,-71.8096745
"Manhattan, NY (Sportsplex)","Manhattan, NY",40.7480678,-74.0085356
"Albuquerque, NM","Albuquerque, NM",35.0853336,-106.6055534
"Arlington, TX","Arlington, TX",32.735687,-97.1080656
"Abrams Gym (Fort Hood, Texas)","Fort Hood, Texas",31.1382094,-97.7773225
"Tulsa, Okla. (BOK Center)","Tulsa, Okla",36.152766,-95.996416
"Institute, WV","Institute, WV",38.38377,-81.7657977
"Springfield, IL","Springfield, IL",39.7817213,-89.6501481
"Univ. Center, Mich. (O'Neill Arena)","Center, Mich",43.5122069,-83.9577029
"Evansville, IN (PAC)","Evansville, IN",37.982493,-87.5679752
"St. Charles, MO (Family Arena)","Charles, MO",38.7477679,-90.5092609
"Evansville, IN (Ford Center)","Evansville, IN",37.9721356,-87.5678588
"Evansville, Ind.","Evansville, Ind",37.9715592,-87.5710898
"Riepma Arena - Midland, Mich.","Midland, Mich",43.6301146,-84.2744061
"Austin, TX","Austin, TX",30.267153,-97.7430608
"Chicago, Ill. (Ratner Center)","Chicago, Ill",41.794161,-87.6019229
"RDV Sportsplex, Orlando, Fla","RDV Sportsplex, Orlando, Fla",28.6358513,-81.4000396
"RDV Sportsplex, Orlando, Florida","RDV Sportsplex, Orlando, Florida",28.6358513,-81.4000396
"La Crosse, WI","La Crosse, WI",43.8013556,-91.2395807
"Golden, CO","Golden, CO",39.755543,-105.2210997
"Winona, MN","Winona, MN",44.0553908,-91.6663523
"Wisconsin Dells, Wis. (JustAGame Field.)","Wisconsin Dells, Wis",43.6256886,-89.7762441
"Birmingham, Ala. - Bill Harris Arena","Birmingham, Ala",33.4947227,-86.8741364
"Birmingham, Ala.|Bill Harris Arena-SIAC","Birmingham, Ala",33.4947227,-86.8741364
"Fort Valley, GA","Fort Valley, GA",32.5537585,-83.8874084
"Charlotte, N.C. - Brayboy Gym","Charlotte, N",35.2433189,-80.8527215
Albany State University- ASU HPER Gym,,31.5710738,-84.140176
"Albany, Georgia- ASU HPER Gymnasium","Albany, Georgia",31.5710738,-84.140176
"Akron, Ohio","Akron, Ohio",41.0814447,-81.5190053
"Owensboro, Ky. (Sportscenter)","Owensboro, Ky",37.7626977,-87.1262181
"Raleigh, NC -- C.C. Spaulding Gymnasium","Raleigh, NC",35.771187,-78.6377146
"Philadelphia, Pa. (Campus Center)","Philadelphia, Pa",40.0604897,-74.9863882
"Livingston, TN","Livingston, TN",36.3833961,-85.3230221
"Wenham, MA","Wenham, MA",42.604261,-70.8911612
"Baltimore, MD","Baltimore, MD",39.2903848,-76.6121893
"Old Westbury, NY","Old Westbury, NY",40.7887113,-73.5995717
"Bronx, NY","Bronx, NY",40.8447819,-73.8648268
"Scranton, PA","Scranton, PA",41.408969,-75.6624122
"Crenshaw Gymnasium, Ashland, Va.","Crenshaw Gymnasium, Ashland, Va",37.7629854,-77.4786146
"New York, NY - Nat Holman Gym (CCNY)","New York, NY",40.8200471,-73.9492724
"New York, NY (Nat Holman Gymnasium)","New York, NY",40.8200471,-73.9492724
"Newark, NJ (The Golden Dome Arena)","Newark, NJ",40.7395937,-74.1743626
"Buffalo, NY","Buffalo, NY",42.8864468,-78.8783689
"West Liberty, WV","West Liberty, WV",40.169794,-80.5936851
"University Heights, OH","University Heights, OH",41.4978306,-81.5373456
"Staten Island, NY","Staten Island, NY",40.5795317,-74.1502007
"Springfield, OH","Springfield, OH",39.9242266,-83.8088171
"Ratner Center in Chicago, Ill.","Ratner Center in Chicago, Ill",41.794161,-87.6019229
"Crenshaw Gym, Ashland, Va.","Crenshaw Gym, Ashland, Va",37.7629854,-77.4786146
Horsburgh Gymnasium,,41.5043413,-81.6083838
"Erie, Pa., Junker Center","Erie, Pa",42.1201,-79.9781785
"St. Paul, MN","Paul, MN",44.9537029,-93.0899578
"Arden Hills, MN","Arden Hills, MN",45.0502435,-93.1566112
"Lee Pfund Classic - Wheaton, Ill.","Wheaton, Ill",41.86833,-88.099622
Ocean Center,,29.22841,-81.011154
"Ocean Center, Daytona Be","Ocean Center, Daytona Be",29.22841,-81.011154
"Winston-Salem, NC","Winston-Salem, NC",36.0998596,-80.244216
"Ocean Center, Daytona Beach, FL","Ocean Center, Daytona Beach, FL",29.22841,-81.011154
"Norfolk, VA","Norfolk, VA",36.8507689,-76.2858726
"Greeley, CO","Greeley, CO",40.4233142,-104.7091322
"West Long Branch, N.J. | the MAC","West Long Branch, N",40.2793079,-74.0077838
"Scope Arena - Norfolk, Va.","Norfolk, Va",36.8532544,-76.286878
The Orleans Arena,,36.1058151,-115.2022567
"The Scope - Norfolk, VA","Norfolk, VA",36.8532544,-76.286878
"Birmingham, Ala. (Pete Hanna Center)","Birmingham, Ala",33.4638283,-86.7971667
"Cullowhee, NC","Cullowhee, NC",35.3137111,-83.1765333
"Des Moines, IA","Des Moines, IA",41.6005448,-93.6091064
"Moraga, CA","Moraga, CA",37.8349263,-122.1296871
"Uncasville, Conn. - Mohegan Sun Arena","Uncasville, Conn",41.4911501,-72.0897019
"Fort Myers, FL (Alico Arena)","Fort Myers, FL",26.4710622,-81.7646659
"Tyler, TX","Tyler, TX",32.3512601,-95.3010624
"Jacksonville, IL","Jacksonville, IL",39.733936,-90.2290098
"Colorado Springs, Colo.","Colorado Springs, Colo",38.8338816,-104.8213634
"Kolf Sports Center - Oshkosh, Wis.","Oshkosh, Wis",44.0243314,-88.5522143
"Sewanee, Tenn. (Juhan Gym","Sewanee, Tenn",35.20518,-85.9176605
"Waukesha, WI","Waukesha, WI",43.0116784,-88.2314813
"Lincoln, Neb. (Snyder Arena)","Lincoln, Neb",40.8387836,-96.6475961
"Johnstown, PA","Johnstown, PA",40.3267407,-78.9219698
"Missoula, MT","Missoula, MT",46.8787176,-113.996586
"Reno, NV","Reno, NV",39.5296329,-119.8138027
"Nampa, ID","Nampa, ID",43.5407172,-116.5634625
"CenturyLink Arena, Boise","CenturyLink Arena, Boise",43.614582,-116.204195
"Boise, ID","Boise, ID",43.6187102,-116.2146068
"Los Angeles, CA (Gersten Pavilion)","Los Angeles, CA",33.967663,-118.4156096
"Boise, Idaho (CenturyLink Arena)","Boise, Idaho",43.614582,-116.204195
"Las Vegas, Nev. (Thomas & Mack Center)","Las Vegas, Nev",36.1049006,-115.1441925
"Charleston, S.C. - TD Arena","Charleston, S",32.7854388,-79.9343716
"St. Thomas, VI","Thomas, VI",18.3380965,-64.8940946
"Brooklyn, NY","Brooklyn, NY",40.6781784,-73.9441579
"Boston, Mass. (TD Garden)","Boston, Mass",42.366198,-71.062146
"Coliseo Roberto Clemente (San Juan, PR)","San Juan, PR",18.4158296,-66.0755353
Coliseo Roberto Clemente,,18.4158296,-66.0755353
"Brooklyn, N.Y. - Barclays Center","Brooklyn, N",40.6827836,-73.9758246
"Barclays Center (Brooklyn, NY)","Brooklyn, NY",40.6827836,-73.9758246
"Kingston, RI","Kingston, RI",41.4803791,-71.5225598
"Willimantic, CT","Willimantic, CT",41.7106543,-72.2081338
"Weston, MA","Weston, MA",42.3667625,-71.3031132
"Radnor, PA","Radnor, PA",40.043912,-75.3754599
"Westfield, Mass. - Woodward Center","Westfield, Mass",42.1279111,-72.7883109
"Bristol, R.I. (Campus Rec Center)","Bristol, R",41.6512211,-71.2605076
"Bristol, R.I. (Campus Rec","Bristol, R",41.6512211,-71.2605076
"Dartmouth, Mass. - Tripp Center","Dartmouth, Mass",41.6238628,-71.0065889
"Shepherdstown, WV","Shepherdstown, WV",39.4300996,-77.8041609
"Petersburg, VA","Petersburg, VA",37.2279279,-77.4019267
"Fairmont, WV","Fairmont, WV",39.4850848,-80.1425781
"Ettrick, VA","Ettrick, VA",37.2401503,-77.4299836
"Manuel Rivero Hall - Lincoln Univ., PA",,39.807212,-75.9273377
"Time Warner Cable Arena - Charlotte, NC","Charlotte, NC",35.2251426,-80.8392351
"Fairmont, W.Va. -- Joe Retton Arena","Fairmont, W",39.4857867,-80.1630335
"Bojangles' Coliseum - Charlotte, NC","Charlotte, NC",35.2048646,-80.7954415
"Spectrum Center - Charlotte, NC","Charlotte, NC",35.2251426,-80.8392351
"Ann Arbor, MI","Ann Arbor, MI",42.2808256,-83.7430378
"Alico Arena (Fort Myers, Fla.)","Fort Myers, Fla",26.4710622,-81.7646659
"American Bank Ctr (Corpus Christi, TX)","Corpus Christi, TX",27.808348,-97.393797
"Scottrade Center, St. Louis, Missouri","Scottrade Center, St",38.6268402,-90.2026783
TD Arena,,32.7854388,-79.9343716
"Scottrade Center, St. Louis, MO","Scottrade Center, St",38.6268402,-90.2026783
"Germain Arena (Ft. Myers, Fla.)","Myers, Fla",26.4404742,-81.7788469
"Germain Arena (Estero, Fla.)","Estero, Fla",26.4404742,-81.7788469
"St. Louis, Mo./ Scottrade Center","Louis, Mo",38.6268402,-90.2026783
"Babson Park, MA","Babson Park, MA",42.3027573,-71.2701651
"Babson Park, MA (Staake Gymnasium","Babson Park, MA",42.2993708,-71.2659951
"Flushing, NY","Flushing, NY",40.7674987,-73.833079
"Garden City, NY","Garden City, NY",40.7267682,-73.6342954
"Springfield, Mass. | Butova Gymnasium","Springfield, Mass",42.1411129,-72.5793229
"Harrisonburg, VA","Harrisonburg, VA",38.4495688,-78.8689155
"Harrisonburg, Va. - Yoder Arena","Harrisonburg, Va",38.4726203,-78.8773972
"Harrisonburg, Va. (Yoder Arena)","Harrisonburg, Va",38.4726203,-78.8773972
"Daytona Beach, Fla. (Ocean Center)","Daytona Beach, Fla",29.22841,-81.011154
"New Paltz, NY","New Paltz, NY",41.7475933,-74.0868095
"Selinsgrove, PA","Selinsgrove, PA",40.7989735,-76.8621935
"Clinton, NY","Clinton, NY",43.0484029,-75.3785034
"Montclair, NJ","Montclair, NJ",40.8259007,-74.2090053
"Galloway, NJ","Galloway, NJ",39.4928235,-74.5596879
"Lancaster, PA (Mayser Center)","Lancaster, PA",40.047869,-76.3185476
"Lancaster, Pa.","Lancaster, Pa",40.0378755,-76.3055144
"Coles Sports Center/Manhattan, NY","Manhattan, NY",40.7285009,-73.9931061
"Daytona Beach, Fla.","Daytona Beach, Fla",29.2108147,-81.0228331
"Daytona Beach, Fla. - Ocean Center","Daytona Beach, Fla",29.22841,-81.011154
"Northfield, Vt. (Andrews Hall)","Northfield, Vt",44.1412397,-72.6608808
"Northfield, Vt.","Northfield, Vt",44.1511723,-72.6564986
"Greensboro, N.C.","Greensboro, N",36.0726354,-79.7919754
"Glens Falls, NY","Glens Falls, NY",43.3095164,-73.6440058
"Prescott Valley, AZ","Prescott Valley, AZ",34.6100243,-112.315721
EnergySolutions Arena,,40.7682681,-111.9010874
"Salt Lake City, EnergySolutions Arena","Salt Lake City, EnergySolutions Arena",40.7682681,-111.9010874
"Orleans Arena (Las Vegas, Nev.)","Las Vegas, Nev",36.1058151,-115.2022567
"The Orleans Arena (Las Vegas,NV)","Las Vegas,NV",36.1058151,-115.2022567
"University of Dayton Arena (Dayton, OH)","Dayton, OH",39.7356112,-84.199716
"Salt Lake City, Vivint Smart Home Arena","Salt Lake City, Vivint Smart Home Arena",40.7682681,-111.9010874
"United Center, Chicago, IL","United Center, Chicago, IL",41.8806908,-87.6741759
Orleans Arena,,36.1058151,-115.2022567
"Oswego, NY","Oswego, NY",43.4553461,-76.5104973
"Geneseo, NY","Geneseo, NY",42.795896,-77.816947
"Geneva, NY","Geneva, NY",42.8679836,-76.985557
"Farmingdale, NY","Farmingdale, NY",40.7325997,-73.4454009
"Henrietta, NY","Henrietta, NY",43.0592452,-77.6128039
"Arlington, Va.","Arlington, Va",38.8816208,-77.0909809
"Louis Alexander Palestra - Rochester, NY","Rochester, NY",43.1305531,-77.6260033
"Geneva, N.Y.: Bristol Gym","Geneva, N",42.8570634,-76.9928982
"Rochester, N.Y. (Voller Ath. Center)","Rochester, N",43.1261506,-77.7975018
"Daytona Beach, Fla. - Oce","Daytona Beach, Fla",29.16434,-80.999622
"Plattsburgh, NY (Memorial Hall)","Plattsburgh, NY",44.6930949,-73.4648711
"Oswego, N.Y. - Max Ziel Gymnasium","Oswego, N",43.4462942,-76.535533
"Purchase, NY","Purchase, NY",41.0400135,-73.7144477
"Newark, NJ","Newark, NJ",40.735657,-74.1723667
"Purchase, N.Y. - Kennedy Gymnasium","Purchase, N",41.0334846,-73.7165649
"Cleveland, Ohio - Horsburgh Gymnasium","Cleveland, Ohio",41.5043413,-81.6083838
"New York City, NY","New York City, NY",40.7127753,-74.0059728
"Newport News, Va. (Freeman Center)","Newport News, Va",37.0648199,-76.492459
"Montclair, NJ - Panzer Athletic Center","Montclair, NJ",40.8585038,-74.2000441
"Mohegan Sun Arena, Uncasville, CT","Mohegan Sun Arena, Uncasville, CT",41.4911501,-72.0897019
"Reese Court - Cheney, Washington","Cheney, Washington",47.4913724,-117.5893925
"Niagara University, NY","Niagara University, NY",43.1365152,-79.0353197
"Toledo, OH (Savage Arena)","Toledo, OH",41.6601653,-83.6097317
"KeyBank Center (Buffalo, N.Y.)","Buffalo, N",42.875004,-78.876521
"Eau Claire, WI","Eau Claire, WI",44.811349,-91.4984941
"Oshkosh, WI","Oshkosh, WI",44.0247062,-88.5426136
"Sherman Gymnasium (Jacksonville, Ill.)","Jacksonville, Ill",39.7298657,-90.2476515
"Reading, Pa. (Bollman Center)","Reading, Pa",40.3627229,-75.9119545
"Tampa Prep; Tampa, Fla.","Tampa, Fla",27.9512401,-82.4670466
"Sherwood Center; Walla Walla, Wash.","Walla Walla, Wash",46.0711676,-118.3310217
"Mahwah, NJ","Mahwah, NJ",41.0886216,-74.1435843
"Palestra, Rochester, NY ","Palestra, Rochester, NY",43.1305531,-77.6260033
"Kahl Gym, Albany, NY","Kahl Gym, Albany, NY",42.6514661,-73.7825767
"Bronx, NY (The APEX)","Bronx, NY",40.8860698,-73.8283771
"Miami, Fla.","Miami, Fla",25.7616798,-80.1917902
"Mohegan Sun Arena (Uncasville, CT)","Uncasville, CT",41.4911501,-72.0897019
"San Jose, CA","San Jose, CA",37.3382082,-121.8863286
"Conseco, Indianapolis","Conseco, Indianapolis",39.7648793,-86.1551714
"Bankers Life, Indy","Bankers Life, Indy",39.7639301,-86.1554641
"Pittsburgh, Pa. - CONSOL Energy Center","Pittsburgh, Pa",40.4395932,-79.9893378
"Indianapolis, Ind. | Bankers Life FHouse","Indianapolis, Ind",39.8915991,-86.0545427
"Bankers Life Fieldhouse-Indianapolis,Ind","Bankers Life Fieldhouse-Indianapolis,Ind",39.7639301,-86.1554641
"Milwaukee, Wis. (BMO Harris Bradley Ctr)","Milwaukee, Wis",43.0436456,-87.9172433
"Aston, PA","Aston, PA",39.8648194,-75.4257325
"Middlebury, VT","Middlebury, VT",44.0153371,-73.16734
"Virginia Beach, VA","Virginia Beach, VA",36.8529263,-75.977985
"Owings Mills, MD","Owings Mills, MD",39.4195499,-76.7802528
"Salisbury, Md. / Maggs PAC","Salisbury, Md",38.345073,-75.6046968
"Bethlehem, Pa. - Johnston Hall","Bethlehem, Pa",40.6304565,-75.3844871
"Middlebury, Vt. - Pepin Gymnasium","Middlebury, Vt",44.0041812,-73.177856
"Thousand Oaks, CA","Thousand Oaks, CA",34.1705609,-118.8375937
"Redlands, CA","Redlands, CA",34.0555693,-117.1825381
"Claremont, CA","Claremont, CA",34.0966764,-117.7197785
"Santa Cruz, CA","Santa Cruz, CA",36.9741171,-122.0307963
"Eugene, OR","Eugene, OR",44.0520691,-123.0867536
"Santa Clara, Calif.","Santa Clara, Calif",37.3541079,-121.9552356
"KEY ARENA - SEATTLE, WA","SEATTLE, WA",47.6221,-122.353988
"DeKalb, Ill. (NIU Convocation Center)","DeKalb, Ill",41.9352122,-88.7856583
"Arcata, CA","Arcata, CA",40.8665166,-124.0828396
"Hayward, CA","Hayward, CA",37.6688205,-122.0807964
"La Jolla, CA","La Jolla, CA",32.8328112,-117.2712717
"Belmont, CA","Belmont, CA",37.5202145,-122.2758008
"Ontario, CA","Ontario, CA",34.0633443,-117.6508876
"Azusa, CA","Azusa, CA",34.1336186,-117.9075627
"San Bernardino, CA","San Bernardino, CA",34.1083449,-117.2897652
"Stockton, CA","Stockton, CA",37.9577016,-121.2907796
"Stockton, Calif. (Stockton Arena)","Stockton, Calif",37.955989,-121.296031
"Azusa, Calif.","Azusa, Calif",34.1336186,-117.9075627
"Azusa, Calif. -- Felix Event Center","Azusa, Calif",34.1350678,-117.8952594
"Stockton, CA (Stockton Arena)","Stockton, CA",37.955989,-121.296031
"Monmouth, Ore. (New PE Building)","Monmouth, Ore",44.8523702,-123.2413673
"La Jolla, CA (RIMAC Arena)","La Jolla, CA",32.8852757,-117.2391823
"Riverside, CA (Van Dyne Gym)","Riverside, CA",33.9264458,-117.4266245
"Riverside, Calif. (Van Dyne Gym)","Riverside, Calif",33.9264458,-117.4266245
"Costa Mesa, Calif.","Costa Mesa, Calif",33.6412156,-117.9188221
"Costa Mesa, CA","Costa Mesa, CA",33.6412156,-117.9188221
"Santa Barbara, CA","Santa Barbara, CA",34.4208305,-119.6981901
"Pomona, Calif.","Pomona, Calif",34.055103,-117.7499909
"Las Vegas, NV ( soutdh Poinbt Arena)","Las Vegas, NV",36.0107111,-115.1782011
"Las Vegas, NV  (South Point Arena)","Las Vegas, NV",36.0107111,-115.1782011
"Stockton Arena (Stockton, Calif.)","Stockton, Calif",37.955989,-121.296031
"Seaside, Calif.","Seaside, Calif",36.6149217,-121.822098
"Rohnert Park, Calif.","Rohnert Park, Calif",38.3396367,-122.7010984
"Kent, WA","Kent, WA",47.3809335,-122.2348432
"Fresno, CA","Fresno, CA",36.7468422,-119.7725868
"Honolulu, O'ahu - Stan Sheriff Center","Honolulu, O",21.2942882,-157.8189039
"Honolulu, HI (Stan Sheriff Center)","Honolulu, HI",21.2942882,-157.8189039
"Logan, Utah (Dee Glen Smith Spectrum)","Logan, Utah",41.7476092,-111.8119572
"Las Vegas, NV (Orleans Arena)","Las Vegas, NV",36.1058151,-115.2022567
"Las Vegas, NC (Orleans Arena)","Las Vegas, NC",36.1058151,-115.2022567
"Las Vegas, Nev. (Orleans Arena)","Las Vegas, Nev",36.1058151,-115.2022567
Chesapeake Arena-Oklahoma City,,35.4634175,-97.5151176
Wright State Nutter Center,,39.782096,-84.052137
"Dayton, OH (Nutter Center)","Dayton, OH",39.782096,-84.052137
Las Vegas (Orleans Arena),,36.1058151,-115.2022567
"Hayward, Calif.","Hayward, Calif",37.6688205,-122.0807964
"Monmouth, OR (New PE Building)","Monmouth, OR",44.8523702,-123.2413673
"San Marcos, CA (The Sports Center)","San Marcos, CA",32.8268769,-117.1610447
"Augusta, Ga. - Christenberry Fieldhouse","Augusta, Ga",33.4719883,-82.0593027
"Logan, UT","Logan, UT",41.7369803,-111.8338359
"Lafayette, LA","Lafayette, LA",30.2240897,-92.0198427
"Spartanburg, S.C. - Hodge Center","Spartanburg, S",34.9957778,-81.9688331
"San Rafael, CA","San Rafael, CA",37.9735346,-122.5310874
"Rohnert Park, CA","Rohnert Park, CA",38.3396367,-122.7010984
